,IP,serverid
10002_170,10002_170,5.0
10003_113,10003_113,14.0
10003_162,10003_162,3.0
10003_235,10003_235,4.0
10003_51,10003_51,14.0
10003_90,10003_90,16.0
10011_132,10011_132,1.0
10013_240,10013_240,15.0
10016_144,10016_144,16.0
10021_133,10021_133,14.0
10021_188,10021_188,16.0
10022_144,10022_144,1.0
10026_106,10026_106,14.0
10030_137,10030_137,14.0
10030_147,10030_147,12.0
10030_163,10030_163,7.0
10030_164,10030_164,6.0
10045_202,10045_202,4.0
10045_70,10045_70,9.0
10054_151,10054_151,3.0
10057_186,10057_186,1.0
10057_233,10057_233,16.0
10057_64,10057_64,12.0
10058_121,10058_121,14.0
10058_130,10058_130,8.0
10067_13,10067_13,16.0
10067_144,10067_144,11.0
10067_167,10067_167,12.0
10072_35,10072_35,13.0
10078_111,10078_111,6.0
10078_113,10078_113,6.0
10085_11,10085_11,16.0
10085_124,10085_124,15.0
10085_147,10085_147,6.0
10088_142,10088_142,12.0
10088_156,10088_156,10.0
10088_191,10088_191,14.0
10088_193,10088_193,16.0
10088_208,10088_208,3.0
10088_216,10088_216,16.0
10088_242,10088_242,13.0
10088_44,10088_44,5.0
10088_98,10088_98,1.0
10097_80,10097_80,9.0
10099_105,10099_105,2.0
10099_154,10099_154,9.0
10099_178,10099_178,7.0
10099_88,10099_88,11.0
10099_97,10099_97,14.0
10104_80,10104_80,16.0
10105_203,10105_203,9.0
10123_37,10123_37,3.0
10123_41,10123_41,2.0
10123_51,10123_51,8.0
10123_71,10123_71,1.0
10123_77,10123_77,14.0
10124_53,10124_53,10.0
10138_76,10138_76,1.0
10154_212,10154_212,4.0
10158_229,10158_229,9.0
10160_81,10160_81,12.0
10162_190,10162_190,13.0
10166_37,10166_37,10.0
10189_113,10189_113,11.0
10244_145,10244_145,7.0
10272_11,10272_11,3.0
10272_44,10272_44,0.0
10275_3,10275_3,7.0
10286_163,10286_163,6.0
10288_211,10288_211,4.0
10288_80,10288_80,9.0
10292_197,10292_197,14.0
10302_128,10302_128,16.0
10302_64,10302_64,16.0
10320_211,10320_211,15.0
10351_135,10351_135,6.0
10407_81,10407_81,8.0
10431_196,10431_196,4.0
10431_88,10431_88,13.0
10459_241,10459_241,10.0
10471_133,10471_133,14.0
10501_102,10501_102,5.0
10502_129,10502_129,12.0
10502_23,10502_23,9.0
10510_126,10510_126,15.0
10556_0,10556_0,7.0
10557_127,10557_127,9.0
10582_152,10582_152,13.0
10582_93,10582_93,0.0
10597_79,10597_79,2.0
10597_84,10597_84,1.0
10650_38,10650_38,14.0
10692_1,10692_1,0.0
10694_28,10694_28,14.0
10698_157,10698_157,15.0
10712_180,10712_180,10.0
10712_181,10712_181,2.0
10712_191,10712_191,8.0
10731_186,10731_186,10.0
10759_43,10759_43,16.0
10760_15,10760_15,5.0
10763_18,10763_18,1.0
10789_116,10789_116,11.0
10815_90,10815_90,6.0
10824_207,10824_207,15.0
10863_249,10863_249,10.0
10866_237,10866_237,10.0
10906_97,10906_97,1.0
10921_86,10921_86,15.0
10938_103,10938_103,8.0
10970_252,10970_252,15.0
10975_217,10975_217,6.0
10981_41,10981_41,15.0
10995_230,10995_230,5.0
11005_49,11005_49,13.0
11014_136,11014_136,8.0
11038_118,11038_118,9.0
11084_93,11084_93,4.0
11175_34,11175_34,9.0
11288_117,11288_117,11.0
11297_166,11297_166,12.0
11357_212,11357_212,11.0
11383_71,11383_71,10.0
11389_206,11389_206,2.0
11396_48,11396_48,8.0
11420_114,11420_114,7.0
11459_14,11459_14,15.0
11462_178,11462_178,7.0
11483_120,11483_120,5.0
11488_34,11488_34,12.0
11510_159,11510_159,13.0
11513_244,11513_244,9.0
11539_42,11539_42,13.0
11584_2,11584_2,9.0
11585_52,11585_52,16.0
11598_243,11598_243,8.0
11599_145,11599_145,0.0
11605_98,11605_98,7.0
11609_24,11609_24,8.0
